"genus","length","age","environment","n"
"Porites",22.5,"Modern","Reef edge",1422
"Cyphastrea",20,"Modern","Reef edge",76
"Porites",20,"Modern","Reef edge",1422
"Acropora",8.75,"Modern","Reef edge",302
"Cyphastrea",11.25,"Modern","Reef edge",76
"Porites",7.5,"Modern","Reef edge",1422
"Porites",7.5,"Modern","Reef edge",1422
"Porites",68.75,"Modern","Reef edge",1422
"Pocillopora",32.5,"Modern","Reef edge",340
"Porites",18.75,"Modern","Reef edge",1422
"Galaxea",12.5,"Modern","Reef edge",274
"Porites",7.5,"Modern","Reef edge",1422
"Pocillopora",8.75,"Modern","Reef edge",340
"Porites",73.75,"Modern","Reef edge",1422
"Porites",30,"Modern","Reef edge",1422
"Pocillopora",7.5,"Modern","Reef edge",340
"Galaxea",20,"Modern","Reef edge",274
"Porites",37.5,"Modern","Reef edge",1422
"Porites",51.25,"Modern","Reef edge",1422
"Acropora",22.5,"Modern","Reef edge",302
"Porites",65,"Modern","Reef edge",1422
"Porites",75,"Modern","Reef edge",1422
"Porites",8.75,"Modern","Reef edge",1422
"Galaxea",6.25,"Modern","Reef edge",274
"Porites",18.75,"Modern","Reef edge",1422
"Montipora",61.25,"Modern","Reef edge",32
"Porites",10,"Modern","Reef edge",1422
"Porites",20,"Modern","Reef edge",1422
"Platygyra",8.75,"Modern","Reef edge",142
"Porites",31.25,"Modern","Reef edge",1422
"Porites",26.25,"Modern","Reef edge",1422
"Porites",65,"Modern","Reef edge",1422
"Galaxea",13.75,"Modern","Reef edge",274
"Porites",33.75,"Modern","Reef edge",1422
"Pocillopora",10,"Modern","Reef edge",340
"Porites",90,"Modern","Reef edge",1422
"Porites",47.5,"Modern","Reef edge",1422
"Echinopora",20,"Modern","Reef edge",276
"Pocillopora",30,"Modern","Reef edge",340
"Porites",45,"Modern","Reef edge",1422
"Acropora",22.5,"Modern","Reef edge",302
"Porites",100,"Modern","Reef edge",1422
"Favites",12.5,"Modern","Reef edge",116
"Platygyra",13.75,"Modern","Reef edge",142
"Cyphastrea",15,"Modern","Reef edge",76
"Porites",28.75,"Modern","Reef edge",1422
"Porites",8.75,"Modern","Reef edge",1422
"Favites",10,"Modern","Reef edge",116
"Porites",6.25,"Modern","Reef edge",1422
"Cyphastrea",8.75,"Modern","Reef edge",76
"Galaxea",11.25,"Modern","Reef edge",274
"Porites",85,"Modern","Reef edge",1422
"Favites",18.75,"Modern","Reef edge",116
"Porites",175,"Modern","Reef edge",1422
"Porites",50,"Modern","Reef edge",1422
"Pocillopora",8.75,"Modern","Reef edge",340
"Galaxea",20,"Modern","Reef edge",274
"Porites",75,"Modern","Reef edge",1422
"Acropora",12.5,"Modern","Reef edge",302
"Montipora",21.25,"Modern","Reef edge",32
"Dipsastraea",5,"Modern","Reef edge",92
"Acropora",22.5,"Modern","Reef edge",302
"Montipora",16.25,"Modern","Reef edge",32
"Acropora",18.75,"Modern","Reef edge",302
"Pocillopora",32.5,"Modern","Reef edge",340
"Porites",23.75,"Modern","Reef edge",1422
"Porites",82.5,"Modern","Reef edge",1422
"Pocillopora",15,"Modern","Reef edge",340
"Favites",22.5,"Modern","Reef edge",116
"Porites",60,"Modern","Reef edge",1422
"Acropora",30,"Modern","Reef edge",302
"Acropora",20,"Modern","Reef edge",302
"Porites",12.5,"Modern","Reef edge",1422
"Acropora",18.75,"Modern","Reef edge",302
"Porites",25,"Modern","Reef edge",1422
"Galaxea",26.25,"Modern","Reef edge",274
"Galaxea",16.25,"Modern","Reef edge",274
"Porites",6.25,"Modern","Reef edge",1422
"Galaxea",32.5,"Modern","Reef edge",274
"Porites",25,"Modern","Reef edge",1422
"Favites",20,"Modern","Reef edge",116
"Galaxea",25,"Modern","Reef edge",274
"Porites",13.75,"Modern","Reef edge",1422
"Acropora",12.5,"Modern","Reef edge",302
"Porites",15,"Modern","Reef edge",1422
"Favites",67.5,"Modern","Reef edge",116
"Dipsastraea",7.5,"Modern","Reef edge",92
"Porites",8.75,"Modern","Reef edge",1422
"Porites",7.5,"Modern","Reef edge",1422
"Porites",22.5,"Modern","Reef edge",1422
"Porites",33.75,"Modern","Reef edge",1422
"Platygyra",17.5,"Modern","Reef edge",142
"Porites",11.25,"Modern","Reef edge",1422
"Pocillopora",20,"Modern","Reef edge",340
"Porites",32.5,"Modern","Reef edge",1422
"Porites",5,"Modern","Reef edge",1422
"Porites",11.25,"Modern","Reef edge",1422
"Porites",21.25,"Modern","Reef edge",1422
"Porites",11.25,"Modern","Reef edge",1422
"Goniastrea",26.25,"Modern","Reef edge",338
"Galaxea",7.5,"Modern","Reef edge",274
"Porites",17.5,"Modern","Reef edge",1422
"Acropora",8.75,"Modern","Reef edge",302
"Pocillopora",15,"Modern","Reef edge",340
"Cyphastrea",10,"Modern","Reef edge",76
"Fungia",11.25,"Modern","Reef edge",34
"Porites",15,"Modern","Reef edge",1422
"Porites",13.75,"Modern","Reef edge",1422
"Galaxea",10,"Modern","Reef edge",274
"Pocillopora",27.5,"Modern","Reef edge",340
"Porites",8.75,"Modern","Reef edge",1422
"Porites",75,"Modern","Reef edge",1422
"Acropora",12.5,"Modern","Reef edge",302
"Galaxea",12.5,"Modern","Reef edge",274
"Galaxea",17.5,"Modern","Reef edge",274
"Porites",25,"Modern","Reef edge",1422
"Pocillopora",17.5,"Modern","Reef edge",340
"Pocillopora",11.25,"Modern","Reef edge",340
"Goniastrea",21.25,"Modern","Reef edge",338
"Pocillopora",23.75,"Modern","Reef edge",340
"Galaxea",16.25,"Modern","Reef edge",274
"Porites",25,"Modern","Reef edge",1422
"Porites",30,"Modern","Reef edge",1422
"Porites",42.5,"Modern","Reef edge",1422
"Porites",11.25,"Modern","Reef edge",1422
"Porites",2.5,"Modern","Reef edge",1422
"Porites",15,"Modern","Reef edge",1422
"Dipsastraea",25,"Modern","Reef edge",92
"Galaxea",12.5,"Modern","Reef edge",274
"Porites",10,"Modern","Reef edge",1422
"Pocillopora",11.25,"Modern","Reef edge",340
"Acropora",3.75,"Modern","Reef edge",302
"Porites",10,"Modern","Reef edge",1422
"Pocillopora",5,"Modern","Reef edge",340
"Lobophyllia",3.75,"Modern","Reef edge",62
"Acropora",23.75,"Modern","Reef edge",302
"Porites",42.5,"Modern","Reef edge",1422
"Porites",7.5,"Modern","Reef edge",1422
"Porites",42.5,"Modern","Reef edge",1422
"Galaxea",28.75,"Modern","Reef edge",274
"Acropora",25,"Modern","Reef edge",302
"Pocillopora",7.5,"Modern","Reef edge",340
"Acropora",5,"Modern","Reef edge",302
"Montipora",31.25,"Modern","Reef edge",32
"Acropora",13.75,"Modern","Reef edge",302
"Acropora",21.25,"Modern","Reef edge",302
"Pocillopora",32.5,"Modern","Reef edge",340
"Pocillopora",7.5,"Modern","Reef edge",340
"Pocillopora",11.25,"Modern","Reef edge",340
"Porites",60,"Modern","Reef edge",1422
"Acropora",10,"Modern","Reef edge",302
"Lobophyllia",37.5,"Modern","Reef edge",62
"Porites",16.25,"Modern","Reef edge",1422
"Montipora",11.25,"Modern","Reef edge",32
"Acropora",17.5,"Modern","Reef edge",302
"Porites",48.75,"Modern","Reef edge",1422
"Pocillopora",21.25,"Modern","Reef edge",340
"Montipora",7.5,"Modern","Reef edge",32
"Pocillopora",12.5,"Modern","Reef edge",340
"Porites",22.5,"Modern","Reef edge",1422
"Porites",13.75,"Modern","Reef edge",1422
"Acropora",33.75,"Modern","Reef edge",302
"Porites",18.75,"Modern","Reef edge",1422
"Montipora",13.75,"Modern","Reef edge",32
"Porites",56.25,"Modern","Reef edge",1422
"Porites",7.5,"Modern","Reef edge",1422
"Pavona",12.5,"Modern","Reef edge",36
"Pocillopora",18.75,"Modern","Reef edge",340
"Porites",8.75,"Modern","Reef edge",1422
"Porites",33.75,"Modern","Reef edge",1422
"Porites",8.75,"Modern","Reef edge",1422
"Porites",66.25,"Modern","Reef edge",1422
"Leptoria",5,"Modern","Reef edge",36
"Galaxea",70,"Modern","Reef edge",274
"Pocillopora",16.25,"Modern","Reef edge",340
"Porites",205,"Modern","Reef edge",1422
"Porites",26.25,"Modern","Reef edge",1422
"Porites",102.5,"Modern","Reef edge",1422
"Porites",100,"Modern","Reef edge",1422
"Galaxea",12.5,"Modern","Reef edge",274
"Favites",48.75,"Modern","Reef edge",116
"Pocillopora",43.75,"Modern","Reef edge",340
